,NAME,B25031_001E,state,county
0,"Escambia County, Florida",880.0,12,033
1,"Hernando County, Florida",915.0,12,053
2,"Hillsborough County, Florida",990.0,12,057
3,"Okaloosa County, Florida",1066.0,12,091
4,"Duval County, Florida",975.0,12,031
5,"Clay County, Florida",977.0,12,019
6,"Nassau County, Florida",968.0,12,089
7,"Pinellas County, Florida",974.0,12,103
8,"St. Lucie County, Florida",995.0,12,111
9,"Indian River County, Florida",911.0,12,061
10,"Palm Beach County, Florida",1241.0,12,099
11,"St. Johns County, Florida",1213.0,12,109
12,"Miami-Dade County, Florida",1162.0,12,086
13,"Flagler County, Florida",1104.0,12,035
14,"Sumter County, Florida",807.0,12,119
15,"Collier County, Florida",1177.0,12,021
16,"Pasco County, Florida",948.0,12,101
17,"Highlands County, Florida",752.0,12,055
18,"Columbia County, Florida",777.0,12,023
19,"Putnam County, Florida",659.0,12,107
20,"Manatee County, Florida",1010.0,12,081
21,"Volusia County, Florida",939.0,12,127
22,"Leon County, Florida",937.0,12,073
23,"Lee County, Florida",1003.0,12,071
24,"Marion County, Florida",776.0,12,083
25,"Osceola County, Florida",1109.0,12,097
26,"Orange County, Florida",1059.0,12,095
27,"Alachua County, Florida",863.0,12,001
28,"Charlotte County, Florida",932.0,12,015
29,"Martin County, Florida",1001.0,12,085
30,"Sarasota County, Florida",1089.0,12,115
31,"Citrus County, Florida",728.0,12,017
32,"Santa Rosa County, Florida",1027.0,12,113
33,"Broward County, Florida",1256.0,12,011
34,"Monroe County, Florida",1441.0,12,087
35,"Brevard County, Florida",976.0,12,009
36,"Lake County, Florida",985.0,12,069
37,"Polk County, Florida",890.0,12,105
38,"Seminole County, Florida",1118.0,12,117
39,"Bay County, Florida",982.0,12,005
