,NAME,B25031_001E,state,county
0,"Duval County, Florida",1111.0,12,031
1,"Brevard County, Florida",1132.0,12,009
2,"Clay County, Florida",1114.0,12,019
3,"Lake County, Florida",1132.0,12,069
4,"Nassau County, Florida",1065.0,12,089
5,"Pinellas County, Florida",1182.0,12,103
6,"Polk County, Florida",998.0,12,105
7,"St. Lucie County, Florida",1196.0,12,111
8,"Indian River County, Florida",1004.0,12,061
9,"St. Johns County, Florida",1334.0,12,109
10,"Seminole County, Florida",1317.0,12,117
11,"Bay County, Florida",1204.0,12,005
12,"Flagler County, Florida",1423.0,12,035
13,"Osceola County, Florida",1317.0,12,097
14,"Walton County, Florida",1217.0,12,131
15,"Marion County, Florida",970.0,12,083
16,"Orange County, Florida",1322.0,12,095
17,"Alachua County, Florida",1006.0,12,001
18,"Charlotte County, Florida",1006.0,12,015
19,"Martin County, Florida",1203.0,12,085
20,"Sarasota County, Florida",1354.0,12,115
21,"Manatee County, Florida",1191.0,12,081
22,"Citrus County, Florida",903.0,12,017
23,"Santa Rosa County, Florida",1208.0,12,113
24,"Leon County, Florida",1015.0,12,073
25,"Broward County, Florida",1448.0,12,011
26,"Monroe County, Florida",1540.0,12,087
27,"Hernando County, Florida",974.0,12,053
28,"Hillsborough County, Florida",1186.0,12,057
29,"Palm Beach County, Florida",1498.0,12,099
30,"Miami-Dade County, Florida",1408.0,12,086
31,"Sumter County, Florida",1185.0,12,119
32,"Lee County, Florida",1220.0,12,071
33,"Collier County, Florida",1397.0,12,021
34,"Pasco County, Florida",1077.0,12,101
35,"Highlands County, Florida",807.0,12,055
36,"Columbia County, Florida",757.0,12,023
37,"Putnam County, Florida",787.0,12,107
38,"Volusia County, Florida",1074.0,12,127
39,"Escambia County, Florida",1004.0,12,033
40,"Okaloosa County, Florida",1150.0,12,091
