,NAME,B25031_001E,state,county
0,"Palm Beach County, Florida",1369.0,12,099
1,"Miami-Dade County, Florida",1349.0,12,086
2,"Sumter County, Florida",912.0,12,119
3,"Lee County, Florida",1190.0,12,071
4,"Collier County, Florida",1257.0,12,021
5,"Pasco County, Florida",1075.0,12,101
6,"Highlands County, Florida",794.0,12,055
7,"Columbia County, Florida",850.0,12,023
8,"Putnam County, Florida",736.0,12,107
9,"Volusia County, Florida",1014.0,12,127
10,"Duval County, Florida",1082.0,12,031
11,"Brevard County, Florida",1074.0,12,009
12,"Clay County, Florida",1118.0,12,019
13,"Lake County, Florida",1028.0,12,069
14,"Nassau County, Florida",923.0,12,089
15,"Pinellas County, Florida",1119.0,12,103
16,"Polk County, Florida",961.0,12,105
17,"St. Lucie County, Florida",1297.0,12,111
18,"Indian River County, Florida",939.0,12,061
19,"St. Johns County, Florida",1200.0,12,109
20,"Seminole County, Florida",1244.0,12,117
21,"Bay County, Florida",1073.0,12,005
22,"Flagler County, Florida",1176.0,12,035
23,"Osceola County, Florida",1296.0,12,097
24,"Walton County, Florida",878.0,12,131
25,"Marion County, Florida",901.0,12,083
26,"Orange County, Florida",1219.0,12,095
27,"Alachua County, Florida",1027.0,12,001
28,"Charlotte County, Florida",1050.0,12,015
29,"Martin County, Florida",1166.0,12,085
30,"Sarasota County, Florida",1359.0,12,115
31,"Manatee County, Florida",1186.0,12,081
32,"Citrus County, Florida",880.0,12,017
33,"Santa Rosa County, Florida",1125.0,12,113
34,"Leon County, Florida",976.0,12,073
35,"Broward County, Florida",1372.0,12,011
36,"Monroe County, Florida",1691.0,12,087
37,"Hernando County, Florida",954.0,12,053
38,"Hillsborough County, Florida",1161.0,12,057
39,"Escambia County, Florida",965.0,12,033
40,"Okaloosa County, Florida",1124.0,12,091
